Database Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ACM Digital Library,,2025-06-02 22:53:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Institute of Physics (AIP),,2025-06-02 22:53:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACS Publications,,2025-06-02 22:53:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIS Standard,,2025-06-02 22:53:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBSCO Business Source Ultimate,,2025-06-02 22:53:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPWRF,,2025-06-02 22:54:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economic Outlook,,2025-06-02 15:47:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Uni.Press (15 Jo.) ,,2025-06-02 22:54:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Outlook,,2025-06-02 15:48:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MathScinet,,2025-06-02 22:54:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Euclid Prime Collection,,2025-06-02 22:55:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProQuest E-Books Central,,2025-06-02 22:54:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sage Journals collection ,,2025-06-02 22:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science Direct,,2025-06-02 22:55:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States of India,,2025-06-02 15:48:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venture Intelligence PE/VC,,2025-06-02 15:49:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Press reader ,,2025-06-02 15:49:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scopus,,2025-06-02 15:49:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Promotion International,,2025-06-02 15:49:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychological StudiesÂ (Electronic),,2025-06-02 15:49:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage and Society,,2025-06-02 15:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the Academy of Marketing Science,,2025-06-02 15:50:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Number Theory,,2025-06-02 15:50:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of International Business Studies,,2025-06-02 15:50:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Review of Economic Studies,,2025-06-02 15:50:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springer LNCS (5296 books),,2025-06-02 15:50:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annals of StatisticsÂ Â ,,2025-06-02 15:50:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Press,,2025-06-02 15:51:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE Equity V2,,2025-06-02 22:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American So. of Mech. Engg. (ASME),,2025-06-02 22:53:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEEE Xplore Digital Library,,2025-06-02 22:54:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prime Infobase,,2025-06-02 22:55:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley Management Journals Collection,,2025-06-02 22:55:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley Online Books,,2025-06-02 22:55:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Muse,,2025-06-02 22:55:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
